t	z	A	theta	lambda	theta_s	lambda_s
309000.000000	2.817479	1.757773	-0.036479	2.333605	-0.024591	-0.489624
310000.000000	2.888526	1.812865	-0.036479	2.333605	-0.024671	-0.562377
311000.000000	2.958239	1.909886	-0.036479	2.333605	-0.024750	-0.635130
312000.000000	3.024220	2.119593	-0.036479	2.333605	-0.024830	-0.707883
313000.000000	3.074389	2.722301	-0.036479	2.333605	-0.024909	-0.780637
314000.000000	3.065179	-2.505126	-0.036479	2.333605	-0.024989	-0.853390
315000.000000	3.008387	-2.050151	-0.036479	2.333605	-0.025068	-0.926143
316000.000000	2.941016	-1.881573	-0.036479	2.333605	-0.025148	-0.998896
317000.000000	2.870852	-1.798629	-0.036479	2.333605	-0.025227	-1.071649
318000.000000	2.799609	-1.749778	-0.036479	2.333605	-0.025307	-1.144403
319000.000000	2.727845	-1.717616	-0.036479	2.333605	-0.025386	-1.217156
320000.000000	2.655791	-1.694804	-0.036479	2.333605	-0.025466	-1.289909
321000.000000	2.583559	-1.677735	-0.036479	2.333605	-0.025545	-1.362662
322000.000000	2.511209	-1.664443	-0.036479	2.333605	-0.025625	-1.435416
323000.000000	2.438779	-1.653763	-0.036479	2.333605	-0.025704	-1.508169
324000.000000	2.366292	-1.644962	-0.036479	2.333605	-0.025784	-1.580922
325000.000000	2.293761	-1.637557	-0.036479	2.333605	-0.025863	-1.653675
326000.000000	2.221198	-1.631216	-0.036479	2.333605	-0.025943	-1.726428
327000.000000	2.148608	-1.625703	-0.036479	2.333605	-0.026022	-1.799182
328000.000000	2.075999	-1.620847	-0.036479	2.333605	-0.026102	-1.871935
329000.000000	2.003373	-1.616517	-0.036479	2.333605	-0.026181	-1.944688
330000.000000	1.930734	-1.612617	-0.036479	2.333605	-0.026261	-2.017441
331000.000000	1.858083	-1.609069	-0.036479	2.333605	-0.026340	-2.090195
332000.000000	1.785424	-1.605814	-0.036479	2.333605	-0.026420	-2.162948
333000.000000	1.712757	-1.602801	-0.036479	2.333605	-0.026499	-2.235701
334000.000000	1.640083	-1.599990	-0.036479	2.333605	-0.026578	-2.308454
335000.000000	1.525737	-1.595806	-0.037553	2.375286	-0.026658	-2.381207
336000.000000	1.411386	-1.591709	-0.038457	2.416973	-0.026737	-2.453961
